Date;Open;High;Low;Close;Adj Close;Volume
2021-05-28;26.200001;27.020000;26.150000;26.990000;22.675571;129526400
2021-06-01;27.400000;27.700001;27.010000;27.290001;22.927618;90744900
2021-06-02;27.350000;28.070000;27.260000;27.870001;23.414902;103985100
2021-06-04;28.059999;28.620001;27.920000;28.500000;23.944193;102757300
2021-06-07;28.500000;28.549999;28.010000;28.290001;23.767763;74548900
2021-06-08;28.170000;28.799999;27.959999;28.660000;24.078617;88398600
2021-06-09;28.719999;29.080000;28.520000;28.660000;24.078617;60724200
2021-06-10;28.830000;29.030001;28.570000;28.680000;24.095421;35871000
2021-06-11;28.799999;28.850000;28.260000;28.570000;24.003002;54894400
2021-06-14;28.900000;29.350000;28.610001;28.750000;24.154232;64286600
2021-06-15;28.959999;29.059999;28.629999;29.030001;24.389473;42597100
2021-06-16;29.080000;29.290001;28.770000;29.139999;24.481888;77432900
2021-06-17;29.010000;29.200001;27.910000;28.129999;23.633339;95264600
2021-06-18;28.000000;28.420000;27.639999;28.320000;23.792967;115250700
2021-06-21;28.400000;29.000000;28.400000;28.950001;24.322260;50709600
2021-06-22;29.000000;29.270000;28.670000;29.100000;24.448282;41602700
2021-06-23;29.250000;29.520000;29.000000;29.299999;24.616310;57278500
2021-06-24;29.490000;29.650000;29.219999;29.650000;24.910362;51447000
2021-06-25;29.690001;29.790001;28.950001;29.100000;24.448282;84950900
2021-06-28;29.180000;29.270000;28.670000;29.049999;24.406273;40341200
2021-06-29;29.090000;29.180000;28.740000;29.180000;24.515493;43215200
2021-06-30;29.030001;29.570000;28.920000;29.430000;24.725531;71367600
2021-07-01;29.740000;29.879999;28.920000;29.059999;24.414675;65084000
2021-07-02;29.299999;29.379999;28.730000;29.180000;24.515493;37336700
2021-07-06;28.700001;28.799999;27.670000;27.670000;23.246872;97839700
2021-07-07;28.150000;28.150000;27.410000;28.049999;23.566126;73793500
2021-07-08;27.400000;27.680000;27.270000;27.490000;23.095644;80574200
2021-07-12;27.580000;27.780001;27.280001;27.730000;23.297279;53001200
2021-07-13;27.559999;27.969999;27.379999;27.900000;23.440105;41594300
2021-07-14;28.100000;28.200001;27.540001;27.670000;23.246872;51654600
2021-07-15;27.490000;27.629999;26.920000;27.080000;22.751186;67982600
2021-07-16;27.230000;27.379999;26.580000;26.680000;22.415127;69024100
2021-07-19;25.969999;26.450001;25.860001;26.240000;22.045460;80087700
2021-07-20;26.190001;26.940001;25.910000;26.590000;22.339512;63408800
2021-07-21;26.790001;27.240000;26.590000;26.959999;22.650366;51116600
2021-07-22;27.000000;27.219999;26.709999;26.900000;22.599957;37736500
2021-07-23;27.100000;27.170000;26.680000;26.740000;22.465534;34025500
2021-07-26;26.740000;27.469999;26.719999;27.469999;23.078842;46802600
2021-07-27;27.350000;27.400000;26.900000;27.150000;22.809996;51901800
2021-07-28;27.430000;27.900000;27.200001;27.709999;23.280478;46727100
2021-07-29;27.799999;27.920000;27.500000;27.809999;23.364492;43916600
2021-07-30;27.600000;27.830000;26.830000;26.910000;22.608360;74150400
2021-08-02;27.200001;27.410000;26.370001;26.410000;22.188286;70528800
2021-08-03;26.360001;26.870001;25.790001;26.850000;22.557951;71850400
2021-08-04;26.549999;26.770000;25.950001;26.280001;22.079069;87970600
2021-08-05;28.750000;28.980000;28.059999;28.350000;23.818172;223915900
2021-08-06;28.500000;28.540001;28.020000;28.389999;23.851776;51106100
2021-08-09;27.950001;28.209999;27.670000;28.190001;23.683748;75381900
2021-08-10;28.299999;28.780001;28.240000;28.280001;23.759361;84380900
2021-08-11;28.160000;28.990000;27.969999;28.670000;24.087019;97863500
2021-08-12;28.660000;29.190001;28.500000;29.100000;24.448282;95319300
2021-08-13;29.059999;29.610001;29.020000;29.350000;24.658319;85201800
2021-08-16;29.200001;29.240000;28.240000;28.639999;24.061813;101262100
2021-08-17;26.840000;27.629999;26.450001;27.030001;24.061735;93623700
2021-08-18;27.030001;27.309999;26.650000;26.790001;23.848091;86103100
2021-08-19;26.260000;26.870001;26.129999;26.639999;23.714561;80808200
2021-08-20;26.400000;26.629999;26.170000;26.600000;23.678955;88445600
2021-08-23;26.940001;27.309999;26.770000;27.020000;24.052834;70161500
2021-08-24;27.290001;27.629999;27.240000;27.580000;24.551336;49831400
2021-08-25;27.629999;27.830000;27.379999;27.730000;24.684864;46031200
2021-08-26;27.580000;27.879999;27.469999;27.490000;24.471220;41061300
2021-08-27;27.700001;28.490000;27.670000;28.490000;25.361406;76465300
2021-08-30;28.400000;28.709999;28.260000;28.299999;25.192270;61054000
2021-08-31;28.200001;28.230000;26.990000;27.190001;24.204165;110574300
2021-09-01;27.320000;27.340000;26.330000;27.040001;24.070637;69430400
2021-09-02;27.000000;27.350000;26.459999;26.600000;23.678955;56052000
2021-09-03;26.650000;26.780001;26.100000;26.330000;23.438604;58182700
2021-09-08;26.290001;26.350000;24.790001;24.969999;22.227949;80378400
2021-09-09;25.080000;25.879999;24.139999;25.500000;22.699749;156617100
2021-09-10;26.020000;26.139999;25.330000;25.340000;22.557320;78379900
2021-09-13;25.799999;26.389999;25.639999;26.230000;23.349585;63317900
2021-09-14;25.950001;26.250000;25.719999;25.879999;23.038019;65497300
2021-09-15;26.000000;26.459999;25.870001;26.330000;23.438604;67274100
2021-09-16;26.080000;26.240000;25.510000;26.100000;23.233862;65567700
2021-09-17;25.969999;26.020000;24.770000;24.930000;22.192343;131694100
2021-09-20;24.080000;24.650000;23.790001;24.650000;21.943090;80260600
2021-09-21;25.080000;25.290001;24.530001;25.209999;22.441595;64570200
2021-09-22;25.530001;26.219999;25.520000;25.850000;23.011314;70231800
2021-09-23;25.950001;26.950001;25.910000;26.840000;23.892599;84480600
2021-09-24;26.549999;27.059999;26.469999;26.900000;23.946011;44821500
2021-09-27;27.139999;27.459999;26.500000;27.139999;24.159655;89178700
2021-09-28;27.190001;27.889999;26.719999;26.959999;23.999420;117874300
2021-09-29;27.209999;27.530001;26.820000;27.389999;24.382200;58731700
2021-09-30;27.530001;27.580000;27.170000;27.230000;24.239771;65744000
2021-10-01;27.120001;28.000000;27.070000;28.000000;24.925215;60983200
2021-10-04;27.760000;28.809999;27.719999;28.790001;25.628464;106937000
2021-10-05;29.000000;29.469999;28.900000;29.420000;26.189280;100469100
2021-10-06;28.950001;29.170000;28.469999;28.639999;25.494934;84599400
2021-10-07;28.700001;28.980000;28.250000;28.600000;25.459328;60551100
2021-10-08;29.000000;29.610001;28.709999;29.120001;25.922224;84170500
2021-10-11;29.500000;29.850000;29.150000;29.320000;26.100260;76466700
2021-10-13;29.170000;29.700001;29.080000;29.629999;26.376219;55605400
2021-10-14;29.860001;30.219999;29.500000;29.680000;26.420729;76172700
2021-10-15;29.799999;29.840000;29.510000;29.600000;26.349514;72479900
2021-10-18;29.400000;29.639999;28.990000;29.450001;26.215986;68971300
2021-10-19;29.240000;29.320000;27.860001;28.010000;24.934116;111484000
2021-10-20;28.270000;28.799999;27.950001;28.500000;25.370308;56063300
2021-10-21;27.860001;28.180000;26.920000;27.450001;24.435614;101567700
2021-10-22;27.100000;27.760000;25.770000;27.180000;24.195263;138384700
2021-10-25;27.760000;29.309999;27.650000;29.040001;25.851009;135830600
2021-10-26;28.799999;29.230000;28.600000;28.760000;25.601757;57865600
2021-10-27;28.830000;29.059999;28.469999;28.690001;25.539444;57579200
2021-10-28;28.530001;29.250000;28.250000;28.959999;25.779793;89578000
2021-10-29;29.129999;29.190001;26.969999;27.150000;24.168556;157340000
2021-11-01;27.709999;28.320000;27.370001;28.000000;24.925215;102157200
2021-11-03;27.709999;27.850000;26.799999;26.850000;23.901501;83475800
2021-11-04;27.020000;27.240000;25.850000;26.000000;23.144842;92603400
2021-11-05;26.290001;26.540001;25.780001;25.850000;23.011314;86264000
2021-11-08;25.809999;26.660000;25.719999;26.120001;23.251665;59704100
2021-11-09;26.200001;26.950001;26.200001;26.639999;23.714561;73021700
2021-11-10;26.600000;26.930000;26.160000;26.430000;23.527622;68176300
2021-11-11;26.879999;26.879999;26.240000;26.450001;23.545427;60848900
2021-11-12;26.309999;27.160000;26.000000;26.990000;24.026127;85962500
2021-11-16;27.260000;27.559999;26.629999;27.270000;24.275379;60978200
2021-11-17;27.389999;27.440001;26.490000;26.580000;23.661150;82106800
2021-11-18;26.690001;26.750000;26.049999;26.540001;23.625544;63993000
2021-11-19;26.100000;26.280001;25.780001;26.100000;23.233862;85893800
2021-11-22;26.299999;27.129999;26.290001;26.360001;23.465311;59195200
2021-11-23;26.610001;28.049999;26.500000;27.799999;24.747177;108382300
2021-11-24;27.780001;28.440001;27.510000;28.370001;25.254585;64263300
2021-11-26;28.389999;29.160000;28.070000;28.469999;25.343601;108871800
2021-11-29;29.360001;29.820000;28.809999;29.469999;26.233788;84672200
2021-11-30;29.299999;29.639999;28.860001;29.430000;26.198181;129384600
2021-12-01;29.840000;30.670000;29.480000;29.600000;26.349514;135078600
2021-12-02;26.990000;28.490000;26.200001;28.360001;28.360001;191410300
2021-12-03;28.480000;28.940001;28.219999;28.760000;28.760000;105133000
2021-12-06;28.780001;29.270000;28.680000;28.889999;28.889999;66142300
2021-12-07;29.280001;29.570000;28.799999;29.360001;29.360001;98989300
2021-12-08;29.360001;30.070000;29.219999;29.350000;29.350000;71167700
2021-12-09;29.100000;29.490000;28.790001;29.290001;29.290001;67668200
2021-12-10;29.500000;30.100000;29.480000;29.650000;29.650000;38517500
2021-12-13;29.670000;30.049999;29.290001;29.469999;29.469999;45448700
2021-12-14;29.610001;29.850000;29.010000;29.120001;29.120001;56833800
2021-12-15;29.100000;29.299999;28.590000;29.299999;29.299999;55085100
2021-12-16;29.620001;29.980000;29.500000;29.690001;29.690001;56545700
2021-12-17;29.320000;29.639999;28.780001;28.990000;28.990000;93593700
2021-12-20;28.440001;28.549999;27.680000;28.160000;28.160000;106282500
2021-12-21;28.549999;28.719999;28.120001;28.200001;28.200001;40454500
2021-12-22;28.400000;28.400000;27.969999;28.160000;28.160000;33734500
2021-12-23;28.330000;28.420000;28.150000;28.330000;28.330000;28713600
2021-12-27;28.320000;28.780001;28.150000;28.750000;28.750000;44227900
2021-12-28;29.010000;29.280001;28.700001;28.780001;28.780001;30688100
2021-12-29;28.700001;28.900000;28.420000;28.540001;28.540001;35508400
2021-12-30;28.549999;28.700001;28.389999;28.450001;28.450001;43229100
2022-01-03;28.540001;29.219999;28.530001;29.090000;29.090000;52704700
2022-01-04;29.160000;29.400000;28.910000;29.200001;29.200001;51739200
2022-01-05;29.190001;29.270000;27.940001;28.070000;28.070000;78459800
2022-01-06;28.290001;28.650000;27.840000;28.049999;28.049999;61163100
2022-01-07;28.110001;28.290001;27.820000;28.180000;28.180000;47507600
2022-01-10;27.990000;28.240000;27.719999;28.010000;28.010000;37455200
2022-01-11;28.100000;29.070000;27.850000;28.840000;28.840000;73623800
2022-01-12;28.950001;29.910000;28.950001;29.719999;29.719999;81378200
2022-01-13;29.530001;30.629999;29.500000;30.320000;30.320000;76717500
2022-01-14;30.280001;31.600000;30.240000;31.450001;31.450001;96458800
2022-01-18;31.559999;31.980000;30.969999;31.639999;31.639999;78198800
2022-01-19;31.900000;32.209999;31.440001;31.490000;31.490000;77480200
2022-01-20;31.500000;32.000000;31.110001;31.719999;31.719999;85353100
2022-01-21;31.570000;31.879999;31.530001;31.770000;31.770000;61345400
2022-01-24;31.690001;32.250000;31.040001;31.950001;31.950001;79117100
2022-01-25;31.700001;33.230000;31.580000;32.990002;32.990002;98358500
2022-01-26;33.299999;34.270000;33.299999;33.869999;33.869999;98679900
2022-01-27;34.250000;34.639999;33.169998;33.880001;33.880001;90631000
