Date;Open;High;Low;Close;Adj Close;Volume
2021-05-28;4.567189;4.707337;4.558945;4.699093;4.604265;35437189
2021-06-01;4.789777;4.855730;4.765045;4.839242;4.744083;43084668
2021-06-02;4.863974;5.136026;4.855730;5.061830;4.962295;62816054
2021-06-04;5.094806;5.267931;5.086562;5.226711;5.123933;52078942
2021-06-07;5.218467;5.408079;5.144270;5.358615;5.253243;94430716
2021-06-08;5.284419;5.416323;5.226711;5.383347;5.277489;94545951
2021-06-09;5.358615;5.539984;5.317395;5.383347;5.277489;75576572
2021-06-10;5.457543;5.490519;5.309151;5.350371;5.245161;63076121
2021-06-11;5.333883;5.333883;5.177246;5.251443;5.148178;47095332
2021-06-14;5.300907;5.358615;5.226711;5.251443;5.148178;41125431
2021-06-15;5.292663;5.317395;5.201979;5.317395;5.212835;35524039
2021-06-16;5.292663;5.523495;5.284419;5.391591;5.285572;90723181
2021-06-17;5.539984;5.572960;5.358615;5.375103;5.269408;63105476
2021-06-18;5.358615;5.399835;5.185491;5.234955;5.132015;45587330
2021-06-21;5.309151;5.325639;5.218467;5.292663;5.188588;31114057
2021-06-22;5.251443;5.325639;5.193735;5.292663;5.188588;47624806
2021-06-23;5.317395;5.416323;5.226711;5.234955;5.132015;42373244
2021-06-24;5.292663;5.358615;5.234955;5.333883;5.228998;45674787
2021-06-25;5.292663;5.317395;5.053586;5.119538;5.018867;62011107
2021-06-28;5.094806;5.119538;4.971146;5.078318;4.978458;43814652
2021-06-29;5.037098;5.045342;4.929926;5.004122;4.905721;35339663
2021-06-30;4.896950;4.979390;4.872218;4.954658;4.857230;34845487
2021-07-01;4.946414;4.946414;4.765045;4.822754;4.730280;36992133
2021-07-02;4.896950;4.896950;4.781533;4.880462;4.786882;36737403
2021-07-06;4.732069;4.748557;4.583677;4.591921;4.503873;41407453
2021-07-07;4.600165;4.690849;4.525969;4.616653;4.528131;52994393
2021-07-08;4.534213;4.624897;4.476505;4.583677;4.495787;57588509
2021-07-12;4.583677;4.732069;4.575433;4.690849;4.600904;47167020
2021-07-13;4.649629;4.748557;4.608409;4.707337;4.617077;59171838
2021-07-14;4.921682;4.929926;4.781533;4.798021;4.706021;74139652
2021-07-15;4.789777;4.839242;4.682605;4.723825;4.633248;48573857
2021-07-16;4.756801;4.781533;4.641385;4.649629;4.560476;40216530
2021-07-19;4.575433;4.600165;4.468261;4.492993;4.406843;48542804
2021-07-20;4.451772;4.616653;4.427040;4.575433;4.487702;51559414
2021-07-21;4.575433;4.657873;4.558945;4.649629;4.560476;26187942
2021-07-22;4.633141;4.633141;4.542457;4.575433;4.487702;28231726
2021-07-23;4.608409;4.649629;4.509481;4.550701;4.463444;29582644
2021-07-26;4.591921;4.707337;4.583677;4.690849;4.600904;29782304
2021-07-27;4.666117;4.765045;4.633141;4.732069;4.641335;44737502
2021-07-28;4.814509;4.987634;4.814509;4.929926;4.835398;61528212
2021-07-29;4.962902;5.004122;4.888706;4.971146;4.875827;34318681
2021-07-30;4.921682;5.004122;4.723825;4.756801;4.665592;46532742
2021-08-02;4.962902;5.020610;4.830998;4.847486;4.757011;62477263
2021-08-03;4.814509;4.905194;4.682605;4.863974;4.773192;51488939
2021-08-04;4.798021;4.855730;4.657873;4.715581;4.627568;49487489
2021-08-05;4.814509;4.896950;4.657873;4.732069;4.643749;72769204
2021-08-06;4.740313;4.863974;4.699093;4.814509;4.724650;44568167
2021-08-09;4.863974;4.929926;4.814509;4.855730;4.765101;35540657
2021-08-10;4.798021;4.905194;4.781533;4.839242;4.748921;37666076
2021-08-11;4.798021;4.913438;4.748557;4.896950;4.805552;31393289
2021-08-12;4.839242;4.880462;4.756801;4.765045;4.676109;33821351
2021-08-13;4.781533;4.822754;4.690849;4.814509;4.724650;37696886
2021-08-16;4.822754;4.847486;4.682605;4.690849;4.619116;36522945
2021-08-17;4.641385;4.765045;4.600165;4.699093;4.627235;47087447
2021-08-18;4.666117;4.781533;4.608409;4.608409;4.537938;47998046
2021-08-19;4.616653;4.641385;4.476505;4.517725;4.448640;56821044
2021-08-20;4.418796;4.542457;4.402308;4.542457;4.472994;38303144
2021-08-23;4.567189;4.608409;4.525969;4.600165;4.529819;29597200
2021-08-24;4.649629;4.839242;4.641385;4.814509;4.740886;32175553
2021-08-25;4.789777;4.880462;4.748557;4.880462;4.805830;24690858
2021-08-26;4.798021;4.830998;4.707337;4.723825;4.651589;34572683
2021-08-27;4.723825;4.872218;4.699093;4.863974;4.789595;30774417
2021-08-30;4.822754;4.863974;4.773289;4.814509;4.740886;23369901
2021-08-31;4.880462;4.995878;4.847486;4.888706;4.813949;46935822
2021-09-01;4.954658;5.020610;4.888706;4.896950;4.824506;32600103
2021-09-02;4.822754;4.872218;4.699093;4.740313;4.670187;46244897
2021-09-03;4.748557;4.765045;4.633141;4.674361;4.605211;33647286
2021-09-08;4.633141;4.674361;4.402308;4.410552;4.345304;52739421
2021-09-09;4.427040;4.600165;4.369332;4.484749;4.418403;85781904
2021-09-10;4.558945;4.591921;4.443528;4.460016;4.394037;41928194
2021-09-13;4.567189;4.624897;4.517725;4.567189;4.499625;44110139
2021-09-14;4.575433;4.600165;4.492993;4.525969;4.459014;35691312
2021-09-15;4.484749;4.525969;4.443528;4.468261;4.402159;31255250
2021-09-16;4.435284;4.460016;4.361088;4.427040;4.361549;26690609
2021-09-17;4.369332;4.377576;4.303380;4.319868;4.255962;33497723
2021-09-20;4.245672;4.253916;4.105523;4.163232;4.101643;51177804
2021-09-21;4.187964;4.262160;4.163232;4.204452;4.142253;38557874
2021-09-22;4.278648;4.344600;4.245672;4.270404;4.207230;36411349
2021-09-23;4.328112;4.476505;4.328112;4.443528;4.377792;35614044
2021-09-24;4.352844;4.402308;4.328112;4.352844;4.288450;29156760
2021-09-27;4.328112;4.460016;4.295136;4.451772;4.385915;46144218
2021-09-28;4.468261;4.501237;4.262160;4.262160;4.199107;48498894
2021-09-29;4.336356;4.377576;4.270404;4.361088;4.296572;37827284
